gene_short_name	gene_id	locus	s_1_NR_A_FPKM	s_2_NR_B_FPKM	s_3_CR_A_FPKM	s_4_CR_B_FPKM
ADD66	YKL206C	ref|NC_001143|:49005-49809	143.692	150.54	108.415	132.65
ADE1	YAR015W	ref|NC_001133|:169374-170295	1312.81	1324.85	154.202	92.7251
ADE12	YNL220W	ref|NC_001146|:234412-235714	280.543	345.71	207.419	164.292
ADE13	YLR359W	ref|NC_001144|:844281-845730	1512.69	2482.34	148.726	143.245
ADE16	YLR028C	ref|NC_001144|:199539-201315	297.285	317.06	408.441	360.357
ADE17	YMR120C	ref|NC_001145|:507501-509280	1080.28	1497.39	79.7604	44.599
ADE2	YOR128C	ref|NC_001147|:564475-566191	543.575	670.036	92.1161	81.2002
ADE3	YGR204W	ref|NC_001139|:905933-908774	285.664	272.874	181.492	92.3245
ADE4	YMR300C	ref|NC_001145|:865558-867091	173.707	196.796	22.0472	10.3858
ADE5%2C7	YGL234W	ref|NC_001139|:56481-58890	471.094	499.141	82.7852	34.4706
ADE6	YGR061C	ref|NC_001139|:611888-615965	163.37	168.7	44.5106	26.4827
ADE8	YDR408C	ref|NC_001136|:1288214-1288859	361.636	376.829	290.253	175.903
ADF1	YCL058W-A	ref|NC_001135|:23583-23925	280.77	139.334	71.6139	37.0875
ADH1	YOL086C	ref|NC_001147|:159547-160594	3239.69	4061.36	5244.78	2234.54
ADH2	YMR303C	ref|NC_001145|:873290-874337	21.8429	18.0721	3160.22	2126.21
ADH3	YMR083W	ref|NC_001145|:434787-435915	304.527	296.552	260.096	157.954
ADH4	YGL256W	ref|NC_001139|:15158-16307	566.044	834.85	50.711	42.7765
ADH5	YBR145W	ref|NC_001134|:533761-534817	82.8995	135.961	90.2259	76.2265
ADH6	YMR318C	ref|NC_001145|:911060-912143	334.182	321.947	265.952	157.705
ADH7	YCR105W	ref|NC_001135|:309069-310155	3.31445	2.96547	7.09421	7.69766
ADI1	YMR009W	ref|NC_001145|:284101-284641	107.477	129.251	181.224	240.219
ADK1	YDR226W	ref|NC_001136|:916485-917154	324.769	487.55	418.788	143.921
ADK2	YER170W	ref|NC_001137|:525973-526651	40.2597	39.1896	98.6766	87.4836
ADO1	YJR105W	ref|NC_001142|:623580-624603	331.664	257.525	241.473	101.085
ADP1	YCR011C	ref|NC_001135|:133723-136873	193.18	182.639	201.004	216.77
ADR1	YDR216W	ref|NC_001136|:895034-899006	66.9353	61.1999	152.431	180.657
ADY2	YCR010C	ref|NC_001135|:132272-133124	21.2591	22.9683	3443.74	5209.15
ADY3	YDL239C	ref|NC_001136|:26402-28775	19.568	22.0436	40.4367	37.9364
ADY4	YLR227C	ref|NC_001144|:590561-592043	19.3785	19.7918	14.5333	17.4761
AEP1	YMR064W	ref|NC_001145|:397902-399459	33.231	32.3272	43.8262	48.1523
AEP2	YMR282C	ref|NC_001145|:833355-835098	27.4684	26.6859	33.157	33.0887
AEP3	YPL005W	ref|NC_001148|:548485-550306	21.6754	23.064	27.2886	22.6803
AFG1	YEL052W	ref|NC_001137|:56570-58100	82.6657	84.2124	173.687	132.003
AFG2	YLR397C	ref|NC_001144|:912549-914892	39.4807	29.4254	16.2181	8.79218
AFG3	YER017C	ref|NC_001137|:189502-191788	45.6135	36.6683	79.0762	44.0165
AFI1	YOR129C	ref|NC_001147|:566876-569558	7.37741	6.93225	6.7342	6.84132
AFR1	YDR085C	ref|NC_001136|:614287-616150	95.5058	84.4104	242.449	283.287
AFT1	YGL071W	ref|NC_001139|:372011-374084	22.6907	19.8102	44.1367	37.7632
AFT2	YPL202C	ref|NC_001148|:168087-169338	44.5787	49.1656	54.0245	57.2107
AGA1	YNR044W	ref|NC_001146|:703698-705876	80.7432	34.535	8.66729	6.94727
AGA2	YGL032C	ref|NC_001139|:436569-436833	545.955	340.022	231.347	175.012
AGC1	YPR021C	ref|NC_001148|:600648-603357	25.7036	24.4481	36.2225	25.4475
AGE1	YDR524C	ref|NC_001136|:1487541-1488990	36.5453	28.785	19.8249	14.7999
AGE2	YIL044C	ref|NC_001141|:272949-273846	103.661	117.502	138.08	128.258
AGP1	YCL025C	ref|NC_001135|:76017-77919	135.466	196.436	264.009	353.678
AGP2	YBR132C	ref|NC_001134|:499651-501442	20.0947	16.975	104.067	105.51
AGP3	YFL055W	ref|NC_001138|:17003-18680	12.3876	12.7783	53.1691	59.5443
AGX1	YFL030W	ref|NC_001138|:76830-77988	12.9618	16.535	91.0956	74.7497
AHA1	YDR214W	ref|NC_001136|:892874-893927	173.509	186.368	236.51	156.411
AHC1	YOR023C	ref|NC_001147|:376011-377712	46.1745	34.1536	123.294	83.2968
AHC2	YCR082W	ref|NC_001135|:258882-259269	590.551	566.591	1583.23	1251.86
AHP1	YLR109W	ref|NC_001144|:368780-369311	5269.8	7090.76	2783.13	1236.05
AHT1	YHR093W	ref|NC_001140|:289141-289690	5.64755	4.84455	4.10127	2.71815
AI1	Q0050	ref|NC_001224|:13817-16322	2.01163	1.6678	1.73382	10.5372
AI2	Q0055	ref|NC_001224|:13817-18830	2.19034	1.42431	1.22709	4.46234
AI3	Q0060	ref|NC_001224|:13817-19996	1.74145	1.54544	0.729294	2.22695
AI4	Q0065	ref|NC_001224|:13817-21935	10.8283	11.6049	2.23688	6.97453
AI5_ALPHA	Q0070	ref|NC_001224|:13817-23167	10.6937	12.4797	1.41938	6.29464
AI5_BETA	Q0075	ref|NC_001224|:24155-25255	13.8933	16.2224	2.33589	6.5625
AIF1	YNR074C	ref|NC_001146|:777601-778738	27.1913	29.9703	30.8977	28.1982
AIM1	YAL046C	ref|NC_001133|:57028-57385	81.3141	74.1981	144.078	75.6926
AIM10	YER087W	ref|NC_001137|:330575-332306	41.2813	39.2105	44.0932	38.5494
AIM11	YER093C-A	ref|NC_001137|:347911-348400	111.134	118.182	123.006	113.615
AIM13	YFR011C	ref|NC_001138|:166745-167258	42.0719	44.4493	100.749	71.6643
AIM14	YGL160W	ref|NC_001139|:200560-202273	18.1715	19.2105	45.8781	34.605
AIM17	YHL021C	ref|NC_001140|:64461-65859	341.266	313.74	1407.31	1747.2
AIM18	YHR198C	ref|NC_001140|:496314-497280	32.9394	30.573	76.0514	87.8071
AIM19	YIL087C	ref|NC_001141|:199645-200119	123.285	128.283	231.935	198.942
AIM2	YAL049C	ref|NC_001133|:51854-52595	61.1274	65.2701	102.684	101.134
AIM20	YIL158W	ref|NC_001141|:46200-46815	47.4914	45.0635	60.7038	49.1133
AIM21	YIR003W	ref|NC_001141|:360884-362924	75.4089	62.981	116.761	89.1828
AIM22	YJL046W	ref|NC_001142|:352385-353615	24.0392	24.7574	41.6501	42.1862
AIM23	YJL131C	ref|NC_001142|:164277-165348	87.5889	91.5294	101.295	160.532
AIM24	YJR080C	ref|NC_001142|:580431-581616	55.9022	68.2162	140.26	113.315
AIM25	YJR100C	ref|NC_001142|:616350-617334	87.3626	74.7728	98.8712	97.4057
AIM26	YKL037W	ref|NC_001143|:369364-369721	26.336	22.5055	23.6107	26.6527
AIM27	YKL207W	ref|NC_001143|:48193-48955	278.543	297.982	228.652	201.782
AIM29	YKR074W	ref|NC_001143|:579208-579676	557.016	558.278	473.184	473.473
AIM3	YBR108W	ref|NC_001134|:454821-457665	23.9056	20.5319	14.2128	16.8364
AIM31	YML030W	ref|NC_001145|:216434-216914	109.41	136.337	396.865	296.378
AIM32	YML050W	ref|NC_001145|:173138-174074	7.11488	6.00417	16.6205	11.5934
AIM33	YML087C	ref|NC_001145|:94430-95369	8.04586	8.69436	12.1611	7.93036
AIM34	YMR003W	ref|NC_001145|:273117-273714	15.5579	16.0519	27.6673	19.8289
AIM36	YMR157C	ref|NC_001145|:571276-572044	62.491	55.119	86.7201	59.1146
AIM37	YNL100W	ref|NC_001146|:437612-438317	58.1419	72.0576	366.85	324.261
AIM38	YNR018W	ref|NC_001146|:664269-664944	107.995	101.088	128.453	71.1152
AIM39	YOL053W	ref|NC_001147|:230084-231272	20.4209	25.8687	81.4046	88.2681
AIM4	YBR194W	ref|NC_001134|:610037-610409	105.728	114.459	106.724	109.386
AIM41	YOR215C	ref|NC_001147|:746724-747282	196.532	221.755	601.31	674.064
AIM43	YPL099C	ref|NC_001148|:363519-364068	75.9499	80.0914	164.339	160.824
AIM44	YPL158C	ref|NC_001148|:252033-254310	91.542	76.842	45.795	60.143
AIM45	YPR004C	ref|NC_001148|:564006-565041	95.3049	100.945	137.533	72.7506
AIM46	YHR199C	ref|NC_001140|:497489-498422	90.1546	76.9328	164.64	123.886
AIM5	YBR262C	ref|NC_001134|:735719-736040	67.9298	90.0235	356.164	201.018
AIM6	YDL237W	ref|NC_001136|:30656-31829	115.094	124.277	115.284	174.267
AIM7	YDR063W	ref|NC_001136|:578662-579112	227.331	240.825	375.014	400.833
AIM9	YER080W	ref|NC_001137|:319962-321846	121.528	101.649	143.963	141.682
AIP1	YMR092C	ref|NC_001145|:451631-453479	103.306	95.8588	177.416	123.875
AIR1	YIL079C	ref|NC_001141|:210922-212005	31.4227	21.6881	4.9151	4.19226
AIR2	YDL175C	ref|NC_001136|:144483-145518	65.9088	58.9252	77.327	79.7381
AKL1	YBR059C	ref|NC_001134|:356860-360187	41.3425	34.1692	102.32	110.764
AKR1	YDR264C	ref|NC_001136|:996028-998323	129.116	126.968	130.134	100.696
AKR2	YOR034C	ref|NC_001147|:394836-397086	36.7748	37.1553	28.0483	24.6279
ALA1	YOR335C	ref|NC_001147|:946232-949109	261.47	201.67	214.312	117.758
ALB1	YJL122W	ref|NC_001142|:189715-190243	74.5459	39.2705	26.3551	11.4392
ALD2	YMR170C	ref|NC_001145|:601561-603082	29.7762	24.8569	32.5236	23.793
ALD3	YMR169C	ref|NC_001145|:599351-600872	86.1648	85.8321	512.082	369.8
ALD4	YOR374W	ref|NC_001147|:1039839-1041399	261.419	372.094	2706.3	2745.86
ALD5	YER073W	ref|NC_001137|:304029-305592	35.0625	21.0132	39.5033	23.3536
ALD6	YPL061W	ref|NC_001148|:432587-434090	584.141	550.277	802.775	871.183
ALE1	YOR175C	ref|NC_001147|:659814-661674	193.164	161.603	170.373	153.041
ALF1	YNL148C	ref|NC_001146|:349906-350671	105.886	111.644	79.9258	68.4666
ALG1	YBR110W	ref|NC_001134|:458871-460221	46.3873	41.907	62.6617	54.4712
ALG11	YNL048W	ref|NC_001146|:538172-539819	41.0558	30.9279	44.0012	45.2577
ALG12	YNR030W	ref|NC_001146|:678798-680454	25.7583	21.6732	17.187	14.7206
ALG13	YGL047W	ref|NC_001139|:411551-412160	81.9559	98.1183	76.4365	84.4094
ALG14	YBR070C	ref|NC_001134|:379220-379934	38.9997	41.0233	46.0026	43.5668
ALG2	YGL065C	ref|NC_001139|:379759-381271	44.2908	31.1509	29.8618	35.0386
ALG3	YBL082C	ref|NC_001134|:69750-71127	27.7328	14.0246	24.7262	14.1985
ALG5	YPL227C	ref|NC_001148|:120162-121167	36.7054	30.9025	35.8956	22.6954
ALG6	YOR002W	ref|NC_001147|:329416-331051	53.1179	49.4849	75.5003	68.924
ALG7	YBR243C	ref|NC_001134|:705446-706793	41.9228	32.5567	46.5982	32.9639
ALG8	YOR067C	ref|NC_001147|:451728-453462	31.188	21.0971	34.0824	22.4663
ALG9	YNL219C	ref|NC_001146|:235995-237663	35.6008	24.4979	37.1622	37.3162
ALK1	YGL021W	ref|NC_001139|:454784-457067	24.844	21.7915	33.193	25.3651
ALK2	YBL009W	ref|NC_001134|:207193-209224	13.1696	9.74165	13.4693	8.81428
ALO1	YML086C	ref|NC_001145|:95790-97371	58.7881	58.5144	114.418	99.6706
ALP1	YNL270C	ref|NC_001146|:135939-137661	7.32735	6.60833	58.4308	80.6733
ALR1	YOL130W	ref|NC_001147|:74399-76979	32.1059	28.3291	66.6584	53.0565
ALR2	YFL050C	ref|NC_001138|:33271-35848	33.4493	34.9221	47.4356	52.06
ALT1	YLR089C	ref|NC_001144|:318236-320015	150.76	240.043	541.233	373.837
ALT2	YDR111C	ref|NC_001136|:678240-679764	92.248	125.155	184.672	267.509
ALY1	YKR021W	ref|NC_001143|:479233-481981	29.0612	30.9318	42.7832	34.4606
ALY2	YJL084C	ref|NC_001142|:274861-278002	25.2756	20.5584	23.615	32.0627
AMA1	YGR225W	ref|NC_001139|:945144-947019	9.81901	10.1928	9.01395	8.78691
AMD1	YML035C	ref|NC_001145|:206427-208860	46.1937	40.5171	53.9869	34.831
AMD2	YDR242W	ref|NC_001136|:946806-948456	28.1194	25.7539	22.7363	28.5594
AME1	YBR211C	ref|NC_001134|:646157-647132	87.467	109.464	178.989	161.341
AMN1	YBR158W	ref|NC_001134|:556548-558198	45.084	37.0551	62.3702	33.2396
AMS1	YGL156W	ref|NC_001139|:210415-213667	11.8413	13.2095	45.3065	50.6149
ANB1	YJR047C	ref|NC_001142|:524907-525381	19.7804	22.0627	4.78027	3.30743
ANP1	YEL036C	ref|NC_001137|:83049-84552	61.076	41.3102	73.0595	29.6246
ANS1	YHR126C	ref|NC_001140|:359701-360181	1.70383	1.26961	2.3382	1.13245
ANT1	YPR128C	ref|NC_001148|:791217-792204	41.6687	36.2273	34.9766	23.1315
AOS1	YPR180W	ref|NC_001148|:895960-897004	126.405	114.052	96.8648	100.499
APA1	YCL050C	ref|NC_001135|:37835-38801	1087.04	906.292	274	154.717
APA2	YDR530C	ref|NC_001136|:1496790-1497768	186.368	197.943	255.093	392.585
APC1	YNL172W	ref|NC_001146|:310635-315882	12.4648	11.9242	16.318	15.9527
APC11	YDL008W	ref|NC_001136|:433496-433994	209.543	226.372	85.0185	59.3084
APC2	YLR127C	ref|NC_001144|:395757-398319	19.0828	16.2855	31.9302	31.7984
APC4	YDR118W	ref|NC_001136|:685881-687840	24.0865	23.438	23.8837	28.6795
APC5	YOR249C	ref|NC_001147|:798673-800731	40.2928	35.3302	44.1857	43.2248
APC9	YLR102C	ref|NC_001144|:342969-343767	102.324	99.9057	157.076	185.119
APD1	YBR151W	ref|NC_001134|:545027-545978	100.937	101.141	322.245	254.718
APE2	YKL157W	ref|NC_001143|:154990-158232	192.873	208.832	189.727	185.433
APE3	YBR286W	ref|NC_001134|:774699-776313	1816.34	1894.18	1401.08	1293.86
APE4	YHR113W	ref|NC_001140|:336336-337809	221.268	258.693	319.809	309.919
API2	YDR525W	ref|NC_001136|:1489904-1490234	2.83946	4.1615	2.66621	0.63478
APJ1	YNL077W	ref|NC_001146|:481390-482977	65.3364	93.2208	169.312	151.191
APL1	YJR005W	ref|NC_001142|:445922-448025	60.6794	60.2953	120.237	161.216
APL2	YKL135C	ref|NC_001143|:186459-188640	81.8913	71.835	74.8553	83.6477
APL3	YBL037W	ref|NC_001134|:147208-150286	26.6131	20.1083	27.0358	24.7684
APL4	YPR029C	ref|NC_001148|:624468-626967	98.9116	99.4786	168.913	175.327
APL5	YPL195W	ref|NC_001148|:176222-179021	267.586	296.744	127.081	166.653
APL6	YGR261C	ref|NC_001139|:1014320-1016750	80.495	76.7337	57.9306	70.7292
APM1	YPL259C	ref|NC_001148|:51243-52671	45.1612	54.2617	84.0679	129.444
APM2	YHL019C	ref|NC_001140|:67730-69548	27.5623	32.3038	38.1474	50.8822
APM3	YBR288C	ref|NC_001134|:778011-779463	57.5133	58.4473	47.712	44.9194
APM4	YOL062C	ref|NC_001147|:210519-211995	58.0926	61.1181	131.358	102.384
APN1	YKL114C	ref|NC_001143|:223351-224455	127.65	137.04	88.8908	87.5222
APN2	YBL019W	ref|NC_001134|:184352-185915	28.2379	30.5177	32.3774	27.4622
APP1	YNL094W	ref|NC_001146|:447610-449374	42.5652	39.758	55.1705	57.7701
APQ12	YIL040W	ref|NC_001141|:277722-278139	67.1632	79.5796	75.6097	54.3853
APQ13	YJL075C	ref|NC_001142|:298459-298876	40.421	25.6608	23.7991	45.4348
APS1	YLR170C	ref|NC_001144|:500578-501049	179.777	207.913	118.067	101.593
APS2	YJR058C	ref|NC_001142|:544731-545175	161.358	154.529	217.166	282.394
APS3	YJL024C	ref|NC_001142|:395930-396592	98.1383	82.0081	48.867	59.074
APT1	YML022W	ref|NC_001145|:228936-229500	270.43	271.378	122.671	78.2723
APT2	YDR441C	ref|NC_001136|:1344516-1345062	36.7363	30.6622	42.2433	22.0012
AQR1	YNL065W	ref|NC_001146|:503723-505484	60.4959	41.3241	4.44957	3.05545
AQY1	YPR192W	ref|NC_001148|:921859-922777	10.8237	9.96965	14.0488	10.0402
AQY2	YLL052C	ref|NC_001144|:35911-36361	11.4586	10.2493	3.6844	3.5067
ARA1	YBR149W	ref|NC_001134|:539986-541021	321.74	463.549	822.601	1020.28
ARA2	YMR041C	ref|NC_001145|:350965-351973	63.0649	69.8582	103.394	85.5542
ARB1	YER036C	ref|NC_001137|:223366-225199	280.654	297.872	376.696	142.086
ARC1	YGL105W	ref|NC_001139|:307436-308567	808.368	719.231	388.36	263.521
ARC15	YIL062C	ref|NC_001141|:243997-244462	162.41	188.575	316.861	373.533
ARC18	YLR370C	ref|NC_001144|:861717-862254	67.0845	83.462	168.171	180.496
ARC19	YKL013C	ref|NC_001143|:417507-418023	181.094	246.323	439.006	338.765
ARC35	YNR035C	ref|NC_001146|:693018-694047	231.096	260.228	270.716	237.516
ARC40	YBR234C	ref|NC_001134|:685437-686592	134.938	154.615	165.795	149.055
ARD1	YHR013C	ref|NC_001140|:130729-131446	193.531	157.195	125.683	76.5252
ARE1	YCR048W	ref|NC_001135|:211928-213761	42.4354	27.0741	27.0513	15.6205
ARE2	YNR019W	ref|NC_001146|:665338-667267	232.464	225.55	158.275	176.389
ARF1	YDL192W	ref|NC_001136|:116320-116866	947.089	1129.06	1273.76	615.772
ARF2	YDL137W	ref|NC_001136|:216157-216489	160.237	186.22	239.111	507.002
ARF3	YOR094W	ref|NC_001147|:502794-503346	77.1295	66.7745	76.7533	71.2179
ARG1	YOL058W	ref|NC_001147|:219210-220473	148.753	142.515	60.0244	32.9842
ARG2	YJL071W	ref|NC_001142|:306131-307856	19.3096	12.6942	16.7665	16.652
ARG3	YJL088W	ref|NC_001142|:268798-269815	8.5553	3.97993	24.8599	17.5258
ARG4	YHR018C	ref|NC_001140|:140010-141402	231.771	268.021	119.221	78.7904
ARG5%2C6	YER069W	ref|NC_001137|:295409-298001	34.9805	26.0192	24.1918	19.985
ARG7	YMR062C	ref|NC_001145|:395053-396379	176.759	159.341	72.3452	66.7834
ARG8	YOL140W	ref|NC_001147|:58758-60030	46.534	29.591	39.2916	42.8068
ARG80	YMR042W	ref|NC_001145|:352602-353136	62.7061	38.9652	54.2345	44.5869
ARG81	YML099C	ref|NC_001145|:74397-77040	31.4184	26.645	32.5026	32.1286
ARG82	YDR173C	ref|NC_001136|:810564-811632	75.1369	99.9302	128.344	106.29
ARH1	YDR376W	ref|NC_001136|:1226821-1228303	54.4543	50.1124	69.6356	64.0674
ARI1	YGL157W	ref|NC_001139|:209005-210049	210.289	286.141	27.6377	15.1546
ARK1	YNL020C	ref|NC_001146|:595622-597539	35.4091	40.6623	38.5015	37.7337
ARL1	YBR164C	ref|NC_001134|:567874-568426	382.076	441.238	284.33	419.031
ARL3	YPL051W	ref|NC_001148|:459962-460559	60.4366	62.8356	39.5427	26.7605
ARN1	YHL040C	ref|NC_001140|:19087-20971	23.243	22.2473	24.3291	16.8045
ARN2	YHL047C	ref|NC_001140|:8350-10213	32.3879	37.3114	48.5891	36.6442
ARO1	YDR127W	ref|NC_001136|:704483-709250	156.747	139.757	87.5006	67.0675
ARO10	YDR380W	ref|NC_001136|:1234217-1236125	18.2418	19.3387	145.493	93.9673
ARO2	YGL148W	ref|NC_001139|:226398-227529	170.765	132.845	144.399	92.2492
ARO3	YDR035W	ref|NC_001136|:521815-522928	500.96	590.758	424.32	308.639
ARO4	YBR249C	ref|NC_001134|:716881-717994	669.45	775.386	193.23	111.028
ARO7	YPR060C	ref|NC_001148|:674860-675631	70.6342	54.7323	29.3376	26.5849
ARO8	YGL202W	ref|NC_001139|:116058-117561	213.236	187.038	169.306	148.484
ARO80	YDR421W	ref|NC_001136|:1312039-1314892	28.3279	29.828	30.0164	31.6782
ARO9	YHR137W	ref|NC_001140|:375708-377250	5.94191	6.43722	371.706	483.205
ARP1	YHR129C	ref|NC_001140|:362998-364153	21.4121	21.5774	22.4802	17.5428
ARP10	YDR106W	ref|NC_001136|:667003-667858	34.3223	38.9325	22.273	20.5825
ARP2	YDL029W	ref|NC_001136|:399339-400638	368.898	435.737	372.707	318.531
ARP3	YJR065C	ref|NC_001142|:557808-559158	105.794	113.509	236.888	197.5
ARP4	YJL081C	ref|NC_001142|:283801-285271	93.378	90.2905	126.685	118.041
ARP5	YNL059C	ref|NC_001146|:512667-514935	211.772	212.626	111.407	94.3412
ARP6	YLR085C	ref|NC_001144|:300672-301989	41.7545	41.7684	49.7727	50.2668
ARP7	YPR034W	ref|NC_001148|:639524-640958	115.043	103.916	151.287	91.7525
ARP8	YOR141C	ref|NC_001147|:589941-592587	103.76	95.114	172.677	228.552
ARP9	YMR033W	ref|NC_001145|:337787-339277	114.335	131.614	108.862	87.7366
ARR1	YPR199C	ref|NC_001148|:938147-939032	55.0134	58.2815	126.658	117.433
ARR2	YPR200C	ref|NC_001148|:939278-939671	13.1405	16.8148	21.126	25.0212
ARR3	YPR201W	ref|NC_001148|:939921-941136	6.97973	7.49471	10.9538	16.546
ART10	YLR392C	ref|NC_001144|:904748-906305	27.9409	25.8498	70.6945	60.8135
ART5	YGR068C	ref|NC_001139|:625323-627084	12.3598	13.076	19.2255	22.5012
ARV1	YLR242C	ref|NC_001144|:622917-623883	16.0508	16.7373	10.9809	14.3317
ARX1	YDR101C	ref|NC_001136|:655685-657467	50.5552	23.8049	12.0538	5.63327
ASA1	YPR085C	ref|NC_001148|:708496-709828	28.5386	25.9374	28.1546	27.3633
ASC1	YMR116C	ref|NC_001145|:499455-500688	4020.05	4208.47	2132.64	1214.39
ASE1	YOR058C	ref|NC_001147|:433687-436345	24.4576	26.2309	16.6864	16.3649
ASF1	YJL115W	ref|NC_001142|:196286-197126	150.881	145.582	117.583	115.417
ASF2	YDL197C	ref|NC_001136|:104916-106494	45.0005	39.3499	65.5478	55.1051
ASG1	YIL130W	ref|NC_001141|:102781-105676	34.1548	24.1514	11.6365	13.3716
ASG7	YJL170C	ref|NC_001142|:101149-101779	111.986	106.004	53.0891	43.4533
ASH1	YKL185W	ref|NC_001143|:94498-96265	68.2616	58.9705	84.9641	71.3346
ASI1	YMR119W	ref|NC_001145|:505332-507207	46.3214	53.3221	83.9696	56.177
ASI2	YNL159C	ref|NC_001146|:338477-339347	81.6286	92.2247	111.504	172.756
ASI3	YNL008C	ref|NC_001146|:616210-618241	71.5498	58.568	47.9375	56.8955
ASK1	YKL052C	ref|NC_001143|:339667-340546	105.754	91.2326	138.489	83.8811
ASK10	YGR097W	ref|NC_001139|:678694-682135	20.2859	17.8201	22.7384	11.4129
ASM4	YDL088C	ref|NC_001136|:298416-300003	41.549	39.5618	71.0284	69.7817
ASN1	YPR145W	ref|NC_001148|:822619-824338	64.0583	68.4034	58.7923	63.3779
ASN2	YGR124W	ref|NC_001139|:739943-741662	795.006	749.003	562.387	251.05
ASP1	YDR321W	ref|NC_001136|:1108701-1109847	266.854	192.989	107.728	64.4165
ASP3-1	YLR155C	ref|NC_001144|:469316-470405	0	0	0	0
ASP3-2	YLR157C	ref|NC_001144|:472968-474057	0	0	0	0
ASP3-3	YLR158C	ref|NC_001144|:482548-483637	0	0	0	0
ASP3-4	YLR160C	ref|NC_001144|:486200-487289	0	0	0	0
ASR1	YPR093C	ref|NC_001148|:719557-720424	67.5545	71.1692	77.8931	68.3101
AST1	YBL069W	ref|NC_001134|:90740-92030	20.8973	15.8325	11.7298	7.78715
AST2	YER101C	ref|NC_001137|:360501-361794	23.2349	16.714	30.8728	29.2865
ATC1	YDR184C	ref|NC_001136|:830628-831513	46.5791	37.5511	36.8936	18.3681
ATE1	YGL017W	ref|NC_001139|:459853-461365	28.825	33.5836	47.7827	51.243
